date,srcip,dstip,srcport,dstport,proto,ts,td,pkt,byt,type
2016-04-06 17:16:27,710619707,719034713,5938,62111,TCP,1459962987028000.0,312.972,4689,917083,background
2016-04-06 17:16:27,719036242,3543491421,21,35123,TCP,1459962987416000.0,310.584,64,5218,background
2016-04-06 17:16:29,707248946,719036342,0,0,GRE,1459962989892000.0,308.108,1729,290596,background
2016-04-06 17:16:29,719036342,707248946,0,0,GRE,1459962989996000.0,308.004,1933,1335085,background
2016-04-06 17:16:30,3642343491,719035635,58679,40004,TCP,1459962990260000.0,304.74,33,1856,background
2016-04-06 17:16:30,719036116,604304074,1818,443,TCP,1459962990616000.0,300.384,72,15480,background
2016-04-06 17:16:30,719034713,3104091342,59860,443,TCP,1459962990712000.0,300.288,42,20286,background
2016-04-06 17:16:30,3627788584,719035635,51787,40003,TCP,1459962990720000.0,301.28,32,1792,background
2016-04-06 17:16:30,3747623400,719035635,39528,22001,TCP,1459962990764000.0,301.236,32,1792,background
2016-04-06 17:16:30,719036116,3234563910,64105,17771,UDP,1459962990800000.0,300.2,42,4620,background
2016-04-06 17:16:30,3143816721,719036245,443,59366,TCP,1459962990872000.0,278.128,13,823,background
2016-04-06 17:16:30,1159346482,719035635,52450,22001,TCP,1459962990908000.0,301.092,32,1792,background
2016-04-06 17:16:30,732180918,719036221,443,42772,TCP,1459962990992000.0,304.008,33,14326,background
2016-04-06 17:16:30,719034773,1062176101,55888,5060,UDP,1459962990996000.0,300.004,11,352,background
2016-04-06 17:16:31,719034860,847553395,3389,52739,TCP,1459962991000000.0,300.0,75,9077,background
2016-04-06 17:16:31,719034713,3755759413,14361,80,TCP,1459962991000000.0,300.0,41,4368,background
2016-04-06 17:16:31,962077861,719036245,443,26836,TCP,1459962991136000.0,291.8640000000001,134,20562,background
2016-04-06 17:16:31,3626732371,719036357,0,0,ICMP,1459962991148000.0,299.8520000000001,31,992,background
2016-04-06 17:16:31,719034713,1129117435,43617,80,TCP,1459962991160000.0,302.84,43,6446,background
2016-04-06 17:16:31,3383361396,719035635,36502,22001,TCP,1459962991220000.0,301.78,32,1792,background
2016-04-06 17:16:31,1129117435,719034713,80,43617,TCP,1459962991344000.0,302.656,43,4437,background
2016-04-06 17:16:31,1386682846,719036246,5222,36792,TCP,1459962991372000.0,298.628,145,13150,background
2016-04-06 17:16:31,1129117435,719034713,80,43621,TCP,1459962991532000.0,302.468,21,2400,background
2016-04-06 17:16:31,719034713,1129117435,43621,80,TCP,1459962991536000.0,302.464,21,2820,background
