date,srcip,dstip,srcport,dstport,ts,td,pkt,byt
2016-04-06 17:16:27,710619707,719034713,5938,62111,1459962987028000.0,312.972,4689,917083
2016-04-06 17:16:27,719036242,3543491421,21,35123,1459962987416000.0,310.584,64,5218
2016-04-06 17:16:29,707248946,719036342,0,0,1459962989892000.0,308.108,1729,290596
2016-04-06 17:16:29,719036342,707248946,0,0,1459962989996000.0,308.004,1933,1335085
2016-04-06 17:16:30,3642343491,719035635,58679,40004,1459962990260000.0,304.74,33,1856
2016-04-06 17:16:30,719036116,604304074,1818,443,1459962990616000.0,300.384,72,15480
2016-04-06 17:16:30,719034713,3104091342,59860,443,1459962990712000.0,300.288,42,20286
2016-04-06 17:16:30,3627788584,719035635,51787,40003,1459962990720000.0,301.28,32,1792
2016-04-06 17:16:30,3747623400,719035635,39528,22001,1459962990764000.0,301.236,32,1792
2016-04-06 17:16:30,719036116,3234563910,64105,17771,1459962990800000.0,300.2,42,4620
2016-04-06 17:16:30,3143816721,719036245,443,59366,1459962990872000.0,278.128,13,823
2016-04-06 17:16:30,1159346482,719035635,52450,22001,1459962990908000.0,301.092,32,1792
2016-04-06 17:16:30,732180918,719036221,443,42772,1459962990992000.0,304.008,33,14326
2016-04-06 17:16:30,719034773,1062176101,55888,5060,1459962990996000.0,300.004,11,352
2016-04-06 17:16:31,719034860,847553395,3389,52739,1459962991000000.0,300.0,75,9077
2016-04-06 17:16:31,719034713,3755759413,14361,80,1459962991000000.0,300.0,41,4368
2016-04-06 17:16:31,962077861,719036245,443,26836,1459962991136000.0,291.8640000000001,134,20562
2016-04-06 17:16:31,3626732371,719036357,0,0,1459962991148000.0,299.8520000000001,31,992
2016-04-06 17:16:31,719034713,1129117435,43617,80,1459962991160000.0,302.84,43,6446
2016-04-06 17:16:31,3383361396,719035635,36502,22001,1459962991220000.0,301.78,32,1792
2016-04-06 17:16:31,1129117435,719034713,80,43617,1459962991344000.0,302.656,43,4437
2016-04-06 17:16:31,1386682846,719036246,5222,36792,1459962991372000.0,298.628,145,13150
2016-04-06 17:16:31,1129117435,719034713,80,43621,1459962991532000.0,302.468,21,2400
2016-04-06 17:16:31,719034713,1129117435,43621,80,1459962991536000.0,302.464,21,2820
2016-04-06 17:16:31,3564129267,719035635,38180,22001,1459962991668000.0,301.332,32,1792
2016-04-06 17:16:31,3543454295,719032690,16136,80,1459962991704000.0,300.296,17,3883
2016-04-06 17:16:31,3496697850,719035635,39958,22001,1459962991736000.0,306.264,32,1792
2016-04-06 17:16:31,1137623326,719035635,37450,22001,1459962991972000.0,302.028,32,1792
2016-04-06 17:16:31,719036116,3499070563,64105,65376,1459962991972000.0,300.028,139,19638
2016-04-06 17:16:32,3494300995,719036357,0,0,1459962992008000.0,298.992,32,1024
2016-04-06 17:16:32,3382866443,719035635,33206,22001,1459962992020000.0,301.98,32,1792
2016-04-06 17:16:32,2968793991,719036242,57975,8000,1459962992048000.0,299.952,6,504
2016-04-06 17:16:32,2968793991,719036242,57971,8000,1459962992056000.0,299.944,6,504
2016-04-06 17:16:32,2968793991,719036242,57972,8000,1459962992056000.0,299.944,6,504
2016-04-06 17:16:32,2968793991,719036242,57973,8000,1459962992056000.0,299.944,6,504
2016-04-06 17:16:32,2968793991,719036242,57974,8000,1459962992056000.0,299.944,6,504
2016-04-06 17:16:32,1160449115,719035635,50603,22001,1459962992176000.0,301.824,32,1792
2016-04-06 17:16:32,3642343491,719035635,54691,40003,1459962992328000.0,301.672,32,1792
2016-04-06 17:16:32,719036116,1202982737,64105,60592,1459962992444000.0,300.556,146,20292
2016-04-06 17:16:32,3544115111,719036116,57520,64105,1459962992544000.0,303.456,61,8442
2016-04-06 17:16:32,3634312540,719035635,55272,22011,1459962992580000.0,302.42,32,1792
2016-04-06 17:16:32,719034665,637339545,0,0,1459962992664000.0,300.336,22,836
2016-04-06 17:16:32,3564567202,719035635,58266,22001,1459962992748000.0,301.252,32,1792
2016-04-06 17:16:32,1053584650,719035137,52986,1723,1459962992780000.0,300.22,12,576
2016-04-06 17:16:32,637339545,719034665,0,0,1459962992784000.0,300.216,11,528
2016-04-06 17:16:32,618839282,719035635,50256,40003,1459962992804000.0,301.196,32,1792
2016-04-06 17:16:32,2236963474,719035635,36447,22001,1459962992816000.0,301.184,32,1792
2016-04-06 17:16:32,1039525680,719036116,43000,64105,1459962992852000.0,300.148,133,18138
2016-04-06 17:16:32,3496697850,719035635,42468,22011,1459962992876000.0,306.124,32,1792
2016-04-06 17:16:32,1922681294,719035635,47958,40003,1459962992916000.0,302.084,32,1792
2016-04-06 17:16:32,707248946,719036342,43712,1723,1459962992932000.0,300.068,12,720
2016-04-06 17:16:32,719036342,707248946,1723,43712,1459962992936000.0,300.064,6,432
2016-04-06 17:16:33,719034713,3144065327,62812,443,1459962993008000.0,299.992,13,1222
2016-04-06 17:16:33,3748719702,719035635,60457,40004,1459962993164000.0,304.836,32,1792
2016-04-06 17:16:33,3746996569,719035635,38851,22001,1459962993220000.0,301.78,32,1792
2016-04-06 17:16:33,3634312540,719035635,36441,22001,1459962993232000.0,301.768,32,1792
2016-04-06 17:16:33,2201700308,719035655,49277,443,1459962993324000.0,304.676,7,389
2016-04-06 17:16:33,2201700308,719035655,49272,443,1459962993328000.0,304.672,7,389
2016-04-06 17:16:33,719036341,3117530817,35893,443,1459962993636000.0,302.3640000000001,9,468
2016-04-06 17:16:33,719034713,4028574583,10055,443,1459962993648000.0,305.3520000000001,33,4618
2016-04-06 17:16:33,3117530817,719036341,443,35893,1459962993700000.0,302.3,9,468
2016-04-06 17:16:33,2842518977,719035635,48084,22001,1459962993716000.0,301.284,32,1792
2016-04-06 17:16:33,1159427324,719035635,28525,22001,1459962993756000.0,301.244,32,1792
2016-04-06 17:16:33,3564567202,719035635,49631,22011,1459962993800000.0,302.2,32,1792
2016-04-06 17:16:33,3390646354,719035635,53554,22001,1459962993820000.0,301.18,32,1792
2016-04-06 17:16:33,1712432808,719035635,48790,22001,1459962993860000.0,301.14,32,1792
2016-04-06 17:16:33,2403862665,719036229,53,32776,1459962993896000.0,242.104,20,2660
2016-04-06 17:16:33,4028574583,719034713,443,10055,1459962993908000.0,305.092,33,6331
2016-04-06 17:16:33,3593447951,719035635,54517,22001,1459962993944000.0,302.056,32,1792
2016-04-06 17:16:33,3742229193,719035635,55402,22001,1459962993956000.0,302.0440000000001,32,1792
2016-04-06 17:16:33,1335903327,719035635,55712,40003,1459962993972000.0,304.028,44,2696
2016-04-06 17:16:33,2206875872,719035672,32768,51215,1459962993996000.0,300.004,65,8066
2016-04-06 17:16:34,2782107209,719035635,58159,22011,1459962994000000.0,302.0,32,1792
2016-04-06 17:16:34,3564565950,719035635,28245,22001,1459962994012000.0,301.988,32,1792
2016-04-06 17:16:34,719036341,400792032,34284,5678,1459962994012000.0,299.988,6,1068
2016-04-06 17:16:34,3634312646,719035635,34009,22001,1459962994336000.0,301.664,32,1792
2016-04-06 17:16:34,624993442,719035635,40729,22011,1459962994340000.0,302.66,32,1792
2016-04-06 17:16:34,3575760785,719035635,52530,22011,1459962994344000.0,302.656,32,1792
2016-04-06 17:16:34,3222673500,719036245,5228,53310,1459962994408000.0,301.592,11,935
2016-04-06 17:16:34,618812349,719035635,53287,22011,1459962994464000.0,302.536,32,1792
2016-04-06 17:16:34,3680961037,719035635,34704,22001,1459962994652000.0,302.348,33,1852
2016-04-06 17:16:34,3391660713,719035635,52672,22011,1459962994708000.0,304.2920000000001,34,1916
2016-04-06 17:16:34,3626934396,719035635,57504,22002,1459962994788000.0,303.212,74,3976
2016-04-06 17:16:34,3542552955,719035635,52674,22001,1459962994824000.0,301.176,32,1792
2016-04-06 17:16:34,732180913,719036245,443,46293,1459962994832000.0,304.168,62,9968
2016-04-06 17:16:34,3680961037,719035635,57421,22011,1459962994960000.0,303.04,32,1792
2016-04-06 17:16:34,3496494310,719035195,0,0,1459962994960000.0,300.04,11,352
2016-04-06 17:16:35,2659247591,719035635,28553,22001,1459962995068000.0,304.932,31,1740
2016-04-06 17:16:35,3593447951,719035635,38610,22001,1459962995104000.0,301.896,32,1792
2016-04-06 17:16:35,1340999654,719035635,60662,22011,1459962995424000.0,302.576,32,1792
2016-04-06 17:16:35,1285796482,719035195,49173,1723,1459962995724000.0,300.276,12,576
2016-04-06 17:16:35,719034665,718139228,443,60586,1459962995812000.0,304.188,14,4916
2016-04-06 17:16:35,3626590834,719035635,44948,22001,1459962995864000.0,301.136,32,1792
